image_id,timestamp,ground_truth,predicted_class,confidence,x1,y1,x2,y2,conf_threshold,evaluation,notes
test01,2026-09-06T17:30:10,garlic,apple,0.6557,226,144,441,305,0.5,wrong,
test02,2026-09-06T17:30:18,garlic,apple,0.821,251,113,489,307,0.5,wrong,
test03,2026-09-06T17:30:42,apple,apple,0.8819,222,128,484,390,0.5,correct,
test04,2026-09-06T17:30:50,apple,NO_DETECTION,,,,,,0.5,miss,
test05,2026-09-06T17:30:59,apple,NO_DETECTION,,,,,,0.5,miss,
test06,2026-09-06T17:31:05,apple,orange,0.6861,224,72,501,382,0.5,wrong,
test06,2026-09-06T17:31:05,apple,apple,0.5274,224,68,501,381,0.5,correct,
test07,2026-09-06T17:31:27,apple,apple,0.8561,323,77,453,218,0.5,correct,
test08,2026-09-06T17:32:42,key,scissors,0.7122,49,183,427,396,0.5,wrong,
test09,2026-09-06T17:33:11,key,knife,0.6928,253,144,409,478,0.5,wrong,
test10,2026-09-06T17:34:24,game_controller,remote,0.7903,17,51,591,436,0.5,wrong,
test11,2026-09-06T17:34:58,glasses,scissors,0.8596,2,293,586,472,0.5,wrong,
test12,2026-09-06T17:35:09,glasses,scissors,0.5066,75,129,596,358,0.5,wrong,
test13,2026-09-06T17:36:26,green_chili,banana,0.503,232,171,505,246,0.5,wrong,
test14,2026-09-06T17:38:02,green_chili,person,0.8193,298,103,400,395,0.5,wrong,
test15,2026-09-06T17:38:04,green_chili,person,0.636,293,106,396,398,0.5,wrong,
